201201101911M48|2012|01|1|01|911M|48|A familias e instituciones sin fines de lucro|8264.28
201201101911M480|2012|01|1|01|911M|480|A S.M. el Rey. Para el sostenimiento de su Familia y Casa (Art. 65 de la Constitución)|8264.28
201201101911M4|2012|01|1|01|911M|4|TRANSFERENCIAS CORRIENTES|8264.28
201201101911M|2012|01|1|01|911M||Jefatura del Estado|8264.28
201201101|2012|01|1|01|||CASA DE SU MAJESTAD EL REY|8264.28
2012011|2012|01|1||||CASA DE SU MAJESTAD EL REY|8264.28
201202101911N12|2012|02|1|01|911N|12|Funcionarios|36906.37
201202101911N125|2012|02|1|01|911N|125|Retribuciones básicas y complementarias de Funcionarios de las Cortes|36906.37
201202101911N14|2012|02|1|01|911N|14|Otro personal|200.00
201202101911N145|2012|02|1|01|911N|145|Otro personal de las Cortes Generales|200.00
201202101911N15|2012|02|1|01|911N|15|Incentivos al rendimiento|80.00
201202101911N150|2012|02|1|01|911N|150|Productividad|80.00
201202101911N16|2012|02|1|01|911N|16|Cuotas, prestaciones y gastos sociales a cargo del empleador|11588.04
201202101911N165|2012|02|1|01|911N|165|Cuotas, prestaciones y gastos sociales a cargo del empleador|11588.04
201202101911N1|2012|02|1|01|911N|1|GASTOS DE PERSONAL|48774.41
201202101911N20|2012|02|1|01|911N|20|Arrendamientos y cánones|0.12
201202101911N207|2012|02|1|01|911N|207|Alquileres|0.12
201202101911N22|2012|02|1|01|911N|22|Material, suministros y otros|1520.95
201202101911N220|2012|02|1|01|911N|220|Material de oficina|1520.95
201202101911N23|2012|02|1|01|911N|23|Indemnizaciones por razón del servicio|41.50
201202101911N234|2012|02|1|01|911N|234|Dietas, locomoción y otras indemnizaciones|41.50
201202101911N24|2012|02|1|01|911N|24|Gastos de publicaciones|420.00
201202101911N240|2012|02|1|01|911N|240|Gastos de edición y distribución|420.00
201202101911N2|2012|02|1|01|911N|2|GASTOS CORRIENTES EN BIENES Y SERVICIOS|1982.57
201202101911N48|2012|02|1|01|911N|48|A familias e instituciones sin fines de lucro|58.23
201202101911N480|2012|02|1|01|911N|480|A Familias e Instituciones sin fines de lucro|58.23
201202101911N49|2012|02|1|01|911N|49|Al exterior|650.00
201202101911N490|2012|02|1|01|911N|490|Al exterior|650.00
201202101911N4|2012|02|1|01|911N|4|TRANSFERENCIAS CORRIENTES|708.23
201202101911N|2012|02|1|01|911N||Actividad legislativa|51465.21
201202101|2012|02|1|01|||CORTES GENERALES|51465.21
201202102911N10|2012|02|1|02|911N|10|Altos cargos|18700.81
201202102911N101|2012|02|1|02|911N|101|Asignación Constitucional Señores Diputados|18700.81
201202102911N11|2012|02|1|02|911N|11|Personal eventual|7471.64
201202102911N111|2012|02|1|02|911N|111|Personal eventual de las Cortes|7471.64
201202102911N12|2012|02|1|02|911N|12|Funcionarios|1651.94
201202102911N125|2012|02|1|02|911N|125|Retribuciones básicas y complementarias de Funcionarios de las Cortes|1651.94
201202102911N13|2012|02|1|02|911N|13|Laborales|3755.40
201202102911N135|2012|02|1|02|911N|135|Retribuciones del personal laboral de las Cortes|3755.40
201202102911N15|2012|02|1|02|911N|15|Incentivos al rendimiento|60.00
201202102911N150|2012|02|1|02|911N|150|Productividad|60.00
201202102911N16|2012|02|1|02|911N|16|Cuotas, prestaciones y gastos sociales a cargo del empleador|3815.15
201202102911N165|2012|02|1|02|911N|165|Cuotas, prestaciones y gastos sociales a cargo del empleador|3815.15
201202102911N1|2012|02|1|02|911N|1|GASTOS DE PERSONAL|35454.94
201202102911N20|2012|02|1|02|911N|20|Arrendamientos y cánones|131.21
201202102911N207|2012|02|1|02|911N|207|Alquileres|131.21
201202102911N21|2012|02|1|02|911N|21|Reparaciones, mantenimiento y conservación|5180.87
201202102911N217|2012|02|1|02|911N|217|Gastos diversos de reparación y conservación|5180.87
201202102911N22|2012|02|1|02|911N|22|Material, suministros y otros|19641.48
201202102911N220|2012|02|1|02|911N|220|Material de oficina|19641.48
201202102911N23|2012|02|1|02|911N|23|Indemnizaciones por razón del servicio|11379.49
201202102911N234|2012|02|1|02|911N|234|Dietas, locomoción y otras indemnizaciones|11379.49
201202102911N24|2012|02|1|02|911N|24|Gastos de publicaciones|1224.00
201202102911N240|2012|02|1|02|911N|240|Gastos de edición y distribución|1224.00
201202102911N2|2012|02|1|02|911N|2|GASTOS CORRIENTES EN BIENES Y SERVICIOS|37557.05
201202102911N47|2012|02|1|02|911N|47|A empresas privadas|850.00
201202102911N470|2012|02|1|02|911N|470|Transferencia corriente de las Cortes a Empresas privadas|850.00
201202102911N48|2012|02|1|02|911N|48|A familias e instituciones sin fines de lucro|9717.54
201202102911N480|2012|02|1|02|911N|480|A Familias e Instituciones sin fines de lucro|9717.54
201202102911N4|2012|02|1|02|911N|4|TRANSFERENCIAS CORRIENTES|10567.54
201202102911N62|2012|02|1|02|911N|62|Inv. nueva asociada al funcionamiento operativo de los serv.|1126.40
201202102911N620|2012|02|1|02|911N|620|Inversión nueva asociada al funcionamiento operativo de los servicios|1126.40
