Id, Nombre
01,CASA DE SU MAJESTAD EL REY
02,CORTES GENERALES
03,TRIBUNAL DE CUENTAS
04,TRIBUNAL CONSTITUCIONAL
05,CONSEJO DE ESTADO
06,DEUDA PÚBLICA
07,CLASES PASIVAS
08,CONSEJO GENERAL DEL PODER JUDICIAL
12,MINISTERIO DE ASUNTOS EXTERIORES Y DE COOPERACIÓN
13,MINISTERIO DE JUSTICIA
14,MINISTERIO DE DEFENSA
15,MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS
16,MINISTERIO DEL INTERIOR
17,MINISTERIO DE FOMENTO
18,MINISTERIO DE EDUCACIÓN, CULTURA Y DEPORTE
19,MINISTERIO DE EMPLEO Y SEGURIDAD SOCIAL
20,MINISTERIO DE INDUSTRIA, ENERGÍA Y TURISMO
23,MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE
25,MINISTERIO DE LA PRESIDENCIA
26,MINISTERIO DE SANIDAD, SERVICIOS SOCIALES E IGUALDAD
27,MINISTERIO DE ECONOMÍA Y COMPETITIVIDAD
31,GASTOS DE DIVERSOS MINISTERIOS
32,OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES
33,FONDOS DE COMPENSACIÓN INTERTERRITORIAL
34,RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA
35,FONDO DE CONTINGENCIA
36,SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES
